AIRPORT;APT_ID;ICAO_CODE;IATA_CODE;LAT;LON;IS_PIP;IS_APDF;IS_PRR2016;IS_PRR2017;IS_PRR2018;IS_PRR2019;IS_PRR2020;APDF_NAME;NAME;PRU_NAME;DASHBOARD_NAME;CTRY_ICAO_CODE;CTRY_NAME;CTRY_ABBREVIATION;TOT_MVT_2019
LPPR;4458;LPPR;OPO;41,2355555555555;-8,6780555555555594;Y;Y;N;N;N;N;N;Porto;Porto;Porto;Porto;LP;PORTUGAL (MADEIRA AND AZORES) (PORTUGAL);Portugal;98816
LFBO;4052;LFBO;TLS;43,6350000000000;1,3677777777777800;Y;N;N;N;N;N;N;Toulouse-Blagnac;Toulouse/Blagnac;Toulouse/Blagnac;Toulouse/Blagnac;LF;FRANCE;France;95665
LIPZ;4387;LIPZ;VCE;45,5052777777778;12,3519444444444400;Y;Y;N;N;N;N;N;Venice;Venice/Tessera;Venice/Tessera;Venice/Tessera;LI;ITALY;Italy;95266
LIME;4362;LIME;BGY;45,6688888888889;9,7002777777777798;Y;Y;N;N;N;N;N;Bergamo;Bergamo/Orio Alserio;Bergamo/Orio Alserio;Bergamo/Orio Alserio;LI;ITALY;Italy;95147
GMMN;3252;GMMN;CMN;33,3641666666667;-7,5816666666666688;N;N;N;N;N;N;N;Mohammed V International;Casablanca/Mohammed;Casablanca/Mohammed;Casablanca/Mohammed;GM;MOROCCO;Morocco;93889
LTAC;4716;LTAC;ESB;40,1280555555555;32,9950000000000045;N;N;N;N;N;N;N;Ankara - Esenboğa;Ankara-Esenboga;Ankara-Esenboga;Ankara-Esenboga;LT;TURKEY;Turkey;93433
EDDB;1771;EDDB;BER;52,3622222222222;13,5005555555555485;Y;Y;N;N;N;N;N;Berlin - Brandenburg;Schoenefeld-Berlin;Berlin Brandenburg;Berlin Brandenburg;ED;GERMANY;Germany;90231
ENBR;2931;ENBR;BGO;60,2936111111111;5,2180555555555594;Y;N;N;N;N;N;N;Bergen;Bergen/Flesland;Bergen/Flesland;Bergen/Flesland;EN;NORWAY;Norway;88377
EVRA;2742;EVRA;RIX;56,9236111111111;23,9711111111111101;Y;Y;N;N;N;N;N;Riga;Riga Intl;Riga Intl;Riga Intl;EV;LATVIA;Latvia;86646
LFSB;4548;LFSB;MLH;47,5900000000000;7,5291666666666694;Y;Y;N;N;N;N;N;Bâle-Mulhouse;Basle/Mulhouse;Basle/Mulhouse;Basle/Mulhouse;LF;FRANCE;France;84560
LIML;4366;LIML;LIN;45,4494444444444;9,2783333333333307;Y;Y;N;N;N;N;N;Milan - Linate;Milan/Linate;Milan/Linate;Milan/Linate;LI;ITALY;Italy;84458
LIRN;4399;LIRN;NAP;40,8844444444444;14,2908333333333299;Y;Y;N;N;N;N;N;Naples;Napoli Capodichino;Napoli Capodichino;Napoli Capodichino;LI;ITALY;Italy;84387
EGPF;2824;EGPF;GLA;55,8719444444444;-4,4330555555555593;Y;Y;N;N;N;N;N;Glasgow;Glasgow;Glasgow;Glasgow;EG;UNITED KINGDOM;United Kingdom;84345
EGLC;2473;EGLC;LCY;51,5052777777778;0,0552777777777778;Y;Y;N;N;N;N;N;London - City;London/City;London/City;London/City;EG;UNITED KINGDOM;United Kingdom;84208
LIPE;4375;LIPE;BLQ;44,5308333333333;11,2969444444444402;Y;Y;N;N;N;N;N;Bologna;Bologna;Bologna;Bologna;LI;ITALY;Italy;77090
LTBJ;4736;LTBJ;ADB;38,2891666666667;27,1550000000000011;N;N;N;N;N;N;N;Izmir - Adnan Menderes;Izmir-Adnan-Menderes;Izmir-Adnan-Menderes;Izmir-Adnan-Menderes;LT;TURKEY;Turkey;77036
ELLX;2924;ELLX;LUX;49,6233333333333;6,2044444444444400;Y;Y;N;N;N;N;N;Luxembourg;Luxembourg;Luxembourg;Luxembourg;EL;LUXEMBOURG;Luxembourg;76300
EDDP;1782;EDDP;LEJ;51,4238888888889;12,2363888888888805;Y;Y;N;N;N;N;N;Leipzig-Halle;Leipzig/Halle;Leipzig/Halle;Leipzig/Halle;ED;GERMANY;Germany;75413
LICC;3989;LICC;CTA;37,4666666666667;15,0638888888888793;Y;Y;N;N;N;N;N;Catania;Catania Fontanarossa;Catania Fontanarossa;Catania Fontanarossa;LI;ITALY;Italy;75399
LFBD;4043;LFBD;BOD;44,8286111111111;-0,7152777777777778;N;N;N;N;N;N;N;Bordeaux-Mérignac;Bordeaux/Merignac;Bordeaux/Merignac;Bordeaux/Merignac;LF;FRANCE;France;74692
LEIB;4011;LEIB;IBZ;38,8727777777778;1,3730555555555599;Y;Y;N;N;N;N;N;Ibiza;Ibiza;Ibiza;Ibiza;LE;SPAIN;Spain Continental;73356
GCXO;3223;GCXO;TFN;28,4827777777778;-16,3416666666666615;Y;Y;N;N;N;N;N;Tenerife North;Tenerife Norte;Tenerife Norte;Tenerife Norte;GC;CANARY ISLANDS (SPAIN);Spain Canarias;72597
LEVC;4028;LEVC;VLC;39,4894444444444;-0,4816666666666666;Y;Y;N;N;N;N;N;Valencia;Valencia;Valencia;Valencia;LE;SPAIN;Spain Continental;72464
LYBE;4762;LYBE;BEG;44,8194444444444;20,3069444444444365;N;N;N;N;N;N;N;Belgrade - Nikola Tesla;Surcin-Beograd;Surcin-Beograd;Surcin-Beograd;LY;SERBIA AND MONTENEGRO;Serbia and Montenegro;70978
ESGG;3293;ESGG;GOT;57,6600000000000;12,2911111111111087;Y;Y;N;N;N;N;N;Göteborg;Gotenborg/Landvetter;Gotenborg/Landvetter;Gotenborg/Landvetter;ES;SWEDEN;Sweden;69265
GCTS;3222;GCTS;TFS;28,0444444444444;-16,5725000000000016;Y;Y;N;N;N;N;N;Tenerife Sur - Reina Sofia;Tenerife Sur/Reina Sofia;Tenerife Sur/Reina Sofia;Tenerife Sur/Reina Sofia;GC;CANARY ISLANDS (SPAIN);Spain Canarias;68636
EGNX;2817;EGNX;EMA;52,8311111111111;-1,3277777777777799;N;N;N;N;N;N;N;East Midlands;East Midlands;East Midlands;East Midlands;EG;UNITED KINGDOM;United Kingdom;67617
EGGD;2454;EGGD;BRS;51,3827777777778;-2,7191666666666703;Y;Y;N;N;N;N;N;Bristol;Bristol/Lulsgate;Bristol/Lulsgate;Bristol/Lulsgate;EG;UNITED KINGDOM;United Kingdom;66393
ENZV;2982;ENZV;SVG;58,8766666666667;5,6377777777777798;Y;N;N;N;N;N;N;Stavanger;Stavanger/Sola;Stavanger/Sola;Stavanger/Sola;EN;NORWAY;Norway;66079
LFRS;4542;LFRS;NTE;47,1569444444444;-1,6077777777777800;N;N;N;N;N;N;N;Nantes-Atlantique;Nantes;Nantes;Nantes;LF;FRANCE;France;65518
EDDV;1786;EDDV;HAJ;52,4602777777778;9,6836111111111087;Y;Y;N;N;N;N;N;Hanover;Hanover;Hanover;Hanover;ED;GERMANY;Germany;64581
EPKK;2991;EPKK;KRK;50,0777777777778;19,7847222222222179;N;N;N;N;N;N;N;Krakow - Balice;Krakow/Balice;Krakow/Balice;Krakow/Balice;EP;POLAND;Poland;63337
LPFR;4448;LPFR;FAO;37,0144444444444;-7,9658333333333298;Y;Y;N;N;N;N;N;Faro;Faro;Faro;Faro;LP;PORTUGAL (MADEIRA AND AZORES) (PORTUGAL);Portugal;60664
LCLK;3831;LCLK;LCA;34,8788888888889;33,6302777777777706;Y;N;N;N;N;N;N;Larnaca;Larnaca;Larnaca;Larnaca;LC;CYPRUS;Cyprus;60657
LBSF;3825;LBSF;SOF;42,6950000000000;23,4083333333333279;Y;Y;N;N;N;N;N;Sofia;Sofia;Sofia;Sofia;LB;BULGARIA;Bulgaria;60266
GCRR;3221;GCRR;ACE;28,9455555555555;-13,6052777777777685;Y;Y;N;N;N;N;N;Lanzarote;Arrecife Lanzarote;Arrecife Lanzarote;Arrecife Lanzarote;GC;CANARY ISLANDS (SPAIN);Spain Canarias;59130
LEZL;4034;LEZL;SVQ;37,4180555555555;-5,8988888888888891;Y;Y;N;N;N;N;N;Sevilla;Sevilla;Sevilla;Sevilla;LE;SPAIN;Spain Continental;58721
LMML;4430;LMML;MLA;35,8575000000000;14,4775000000000009;Y;Y;N;N;N;N;N;Malta;Malta/Luqa;Malta/Luqa;Malta/Luqa;LM;MALTA;Malta;58181
LGTS;4612;LGTS;SKG;40,5197222222222;22,9708333333333279;N;N;N;N;N;N;N;Thessaloniki;Makedonia;Makedonia;Makedonia;LG;GREECE;Greece;56361
LGIR;4579;LGIR;HER;35,3397222222222;25,1802777777777713;N;N;N;N;N;N;N;Heraklion;Iraklion/Nikos/Kazantzakis;Iraklion/Nikos/Kazantzakis;Iraklion/Nikos/Kazantzakis;LG;GREECE;Greece;55188
EBCI;1741;EBCI;CRL;50,4600000000000;4,4527777777777802;Y;Y;N;N;N;N;N;Charleroi;Charleroi;Charleroi;Charleroi;EB;BELGIUM;Belgium;54763
ENVA;2979;ENVA;TRD;63,4575000000000;10,9241666666666593;Y;N;N;N;N;N;N;Trondheim;Trondheim/Vaernes;Trondheim/Vaernes;Trondheim/Vaernes;EN;NORWAY;Norway;53912
LICJ;3992;LICJ;PMO;38,1819444444444;13,0994444444444404;N;N;N;N;N;N;N;Palermo Falcone-Borsellino;Palermo Punta Raisi;Palermo Punta Raisi;Palermo Punta Raisi;LI;ITALY;Italy;53896
LFPB;4512;LFPB;LBG;48,9694444444444;2,4413888888888899;N;N;N;N;N;N;N;Paris-Le Bourget;Paris/Le Bourget;Paris/Le Bourget;Paris/Le Bourget;LF;FRANCE;France;53493
ESSB;2697;ESSB;BMA;59,3544444444444;17,9422222222222167;N;N;N;N;N;N;N;Stockholm - Bromma;Stockholm-Bromma;Stockholm-Bromma;Stockholm-Bromma;ES;SWEDEN;Sweden;51798
EGAA;2424;EGAA;BFS;54,6575000000000;-6,2158333333333298;N;N;N;N;N;N;N;Belfast - Aldergrove;Belfast/Aldergrove;Belfast/Aldergrove;Belfast/Aldergrove;EG;UNITED KINGDOM;United Kingdom;51470
