ANSP_NAME,PRU_ATC_TYPE,AUA_CODE,AUA_NAME
LVNL,APP,EHAMTMA,AMSTERDAM APPROACH
LVNL,APP,EHBKCTR,MAASTRICHT TOWER
LVNL,APP,EHBKTMA,MAASTRICHT/BEEK APP
LVNL,APP,EHGGCTR,EELDE TOWER
LVNL,APP,EHGGTMA,GRONINGEN/EELDE APP
LVNL,APP,EHLECTR,LELYSTAD CTR
LVNL,APP,EHLETMA,LELYSTAD TMA
LVNL,APP,EHRDCTR,ROTTERDAM TOWER
LVNL,APP,EHRDTMA,ROTTERDAM APP
IAA,APP,EICKCTR,CORK TOWER
IAA,ACC,EIDWCTA,DUBLIN ACC
IAA,APP,EIDWCTR,DUBLIN TOWER
IAA,APP,EINNCTR,SHANNON TWR
IAA,ACC,EISNCTA,SHANNON ACC
NAVIAIR,APP,EKAHTMA,AARHUS APP
NAVIAIR,APP,EKBITMA,BILLUND APP
NAVIAIR,APP,EKCHCTR,EKCH CTR
NAVIAIR,APP,EKCHTMA,COPENHAGEN APP
NAVIAIR,ACC,EKDKCTA,KONBENHAVN ACC
NAVIAIR,APP,EKEBATZ,EKEB TIZ/TIA
NAVIAIR,APP,EKRKTMA,ROSKILDE APP
NAVIAIR,APP,EKRNTMA,RONNE TMA
NAVIAIR,APP,EKVJTMA,EKVJ TIZ
NAVIAIR,APP,EKYTTMA,AALBORG APP
ANA LUX,APP,ELLXCTR,LUXEMBOURG CTR
skeyes,FIS,ELLXICTA,LUXEMBOURG FLT INFO
ANA LUX,APP,ELLXTMA,LUXEMBURG APP
Avinor,APP,ENANTMA,ANDOYA TOWER
Avinor,APP,ENATTMA,ALTA TOWER
Avinor,ACC,ENBDCTA,BODO ACC
Avinor,APP,ENBOTMA,BODO TOWER
Avinor,APP,ENBRTMA,BERGEN/FLESLAND APP
Avinor,APP,ENCNTMA,KJEVIK TOWER
Avinor,APP,ENDUTMA,BARDUFOSS TOWER
Avinor,APP,ENEVTMA,EVENES TOWER
Avinor,FIS,ENFLCTR,FLORO AFIS
Avinor,APP,ENGMCTR,GARDERMOEN TOWER
Avinor,APP,ENHETMA,HEIDRUN TMA
Avinor,APP,ENKR1CTA,KIRKENES TMA CENTER AND WEST
Avinor,APP,ENKRCTR,KIRKENES TMA WEST AND CENTER
Avinor,APP,ENKRTMA,KIRKENES TOWER
Avinor,FIS,ENLICTR,LISTA AFIS
Avinor,APP,ENMLTMA,MORE TMA
Avinor,APP,ENNATMA,BANAK TOWER
Avinor,OAC,ENOBOCA,BODO OAC
Avinor,APP,ENOLTMA,ORLAND APP
Avinor,ACC,ENOSCTA,OSLO STAVANGER ATCC
Avinor,APP,ENOSTMA,OSLO TMA
Avinor,APP,ENROTMA,ROROS TIA
Avinor,FIS,ENSBCTR,LONGYEAR AFIS
Avinor,FIS,ENSGCTR,SOGNDAL AFIS
Avinor,APP,ENTCTMA,TROMSO
Avinor,APP,ENVATMA,VAERNES
Avinor,APP,ENZVTMA,STAVANGER/SOLA
PANSA,APP,EPBYCTR,BYDGOSZCZ TOWER
PANSA,APP,EPGDTMA,APP GDANSK
PANSA,APP,EPKKTMA,KRAKOW APP
PANSA,APP,EPKTCTR,KATOWICE TOWER
PANSA,APP,EPLBCTR,LUBLIN TOWER
PANSA,APP,EPLBTMA,LUBLIN TMA
PANSA,APP,EPLLTMA,EPLL TMA
PANSA,APP,EPLRATZ,EPLR ATZ
PANSA,APP,EPMOCTR,WARSZAWA/MODLIN CTR
